Rain (mm),ET(mm),Runoff (mm/day),Date
0,5,0, 1/01/1968
0,5,0, 2/01/1968
2,5,0, 3/01/1968
0,5,0, 4/01/1968
0,5,0, 5/01/1968
0,5,0, 6/01/1968
0,5,0, 7/01/1968
0,5,0, 8/01/1968
0,5,0, 9/01/1968
7.57,5,0,10/01/1968
0,5,0,11/01/1968
0,5,0,12/01/1968
0,5,0,13/01/1968
0,5,0,14/01/1968
0,5,0,15/01/1968
0,5,0,16/01/1968
0,5,0,17/01/1968
0,5,0,18/01/1968
0,5,0,19/01/1968
1.6,5,0,20/01/1968
10.95,5,0,21/01/1968
0,5,0,22/01/1968
0,5,0,23/01/1968
0,5,0,24/01/1968
5.54,5,0,25/01/1968
0,5,0,26/01/1968
0,5,0,27/01/1968
0,5,0,28/01/1968
0,5,0,29/01/1968
0,5,0,30/01/1968
0,5,0,31/01/1968
0,4.24137931,0, 1/02/1968
1,4.24137931,0, 2/02/1968
0,4.24137931,0, 3/02/1968
0,4.24137931,0, 4/02/1968
0,4.24137931,0, 5/02/1968
0,4.24137931,0, 6/02/1968
0,4.24137931,0, 7/02/1968
3.76,4.24137931,0, 8/02/1968
1,4.24137931,0, 9/02/1968
0,4.24137931,0,10/02/1968
0,4.24137931,0,11/02/1968
0,4.24137931,0,12/02/1968
0,4.24137931,0,13/02/1968
0.4,4.24137931,0,14/02/1968
0,4.24137931,0,15/02/1968
0,4.24137931,0,16/02/1968
0,4.24137931,0,17/02/1968
0,4.24137931,0,18/02/1968
0,4.24137931,0,19/02/1968
0,4.24137931,0,20/02/1968
0,4.24137931,0,21/02/1968
0,4.24137931,0,22/02/1968
0,4.24137931,0,23/02/1968
0,4.24137931,0,24/02/1968
0,4.24137931,0,25/02/1968
0,4.24137931,0,26/02/1968
4.87,4.24137931,0,27/02/1968
0,4.24137931,0,28/02/1968
0,4.24137931,0,29/02/1968
0,3.290322581,0, 1/03/1968
0,3.290322581,0, 2/03/1968
0,3.290322581,0, 3/03/1968
0,3.290322581,0, 4/03/1968
1.99,3.290322581,0, 5/03/1968
0,3.290322581,0, 6/03/1968
0,3.290322581,0, 7/03/1968
0.37,3.290322581,0, 8/03/1968
0,3.290322581,0, 9/03/1968
0,3.290322581,0,10/03/1968
0,3.290322581,0,11/03/1968
0,3.290322581,0,12/03/1968
0,3.290322581,0,13/03/1968
0,3.290322581,0,14/03/1968
0,3.290322581,0,15/03/1968
0,3.290322581,0,16/03/1968
0,3.290322581,0,17/03/1968
0,3.290322581,0,18/03/1968
0,3.290322581,0,19/03/1968
0,3.290322581,0,20/03/1968
0,3.290322581,0,21/03/1968
0,3.290322581,0,22/03/1968
10.38,3.290322581,0,23/03/1968
0.55,3.290322581,0,24/03/1968
1.78,3.290322581,0,25/03/1968
0.41,3.290322581,0,26/03/1968
0,3.290322581,0,27/03/1968
0,3.290322581,0,28/03/1968
0,3.290322581,0,29/03/1968
0,3.290322581,0,30/03/1968
20.46,3.290322581,0,31/03/1968
13.76,2.2,0, 1/04/1968
0,2.2,0, 2/04/1968
0,2.2,0, 3/04/1968
0,2.2,0, 4/04/1968
0,2.2,0, 5/04/1968
0,2.2,0, 6/04/1968
0,2.2,0, 7/04/1968
1.59,2.2,0, 8/04/1968
1.41,2.2,0, 9/04/1968
0,2.2,0,10/04/1968
0,2.2,0,11/04/1968
0,2.2,0,12/04/1968
1,2.2,0,13/04/1968
1.96,2.2,0,14/04/1968
3.3,2.2,0,15/04/1968
3.26,2.2,0,16/04/1968
0.4,2.2,0,17/04/1968
0,2.2,0,18/04/1968
0,2.2,0,19/04/1968
6.96,2.2,0,20/04/1968
0.59,2.2,0,21/04/1968
15.73,2.2,0,22/04/1968
3.63,2.2,0,23/04/1968
1,2.2,0,24/04/1968
0,2.2,0,25/04/1968
4.55,2.2,0,26/04/1968
2.59,2.2,0,27/04/1968
0,2.2,0,28/04/1968
28.21,2.2,0,29/04/1968
16.45,2.2,0,30/04/1968
0.56,1.258064516,0, 1/05/1968
0,1.258064516,0, 2/05/1968
27.04,1.258064516,0, 3/05/1968
14.44,1.258064516,0.173, 4/05/1968
5.85,1.258064516,0.288, 5/05/1968
5.99,1.258064516,0.212, 6/05/1968
0,1.258064516,0.115, 7/05/1968
0,1.258064516,0.058, 8/05/1968
0,1.258064516,0.038, 9/05/1968
3.12,1.258064516,0.019,10/05/1968
7.13,1.258064516,0.019,11/05/1968
0.78,1.258064516,0.019,12/05/1968
6.06,1.258064516,0.019,13/05/1968
6.82,1.258064516,0.019,14/05/1968
0.15,1.258064516,0.019,15/05/1968
1,1.258064516,0.019,16/05/1968
1.59,1.258064516,0.019,17/05/1968
6.67,1.258064516,0.038,18/05/1968
15.42,1.258064516,1.5,19/05/1968
31.71,1.258064516,3.288,20/05/1968
0.93,1.258064516,0.981,21/05/1968
6.02,1.258064516,0.731,22/05/1968
1.41,1.258064516,0.596,23/05/1968
13.91,1.258064516,1.654,24/05/1968
17.65,1.258064516,5.5,25/05/1968
10.73,1.258064516,5.692,26/05/1968
10.17,1.258064516,4.288,27/05/1968
25.01,1.258064516,13.173,28/05/1968
30.35,1.258064516,22.019,29/05/1968
15.28,1.258064516,12.885,30/05/1968
2.74,1.258064516,17.596,31/05/1968
0,1.033333333,3.096, 1/06/1968
2.96,1.033333333,2.173, 2/06/1968
27.39,1.033333333,10.962, 3/06/1968
4.26,1.033333333,7.577, 4/06/1968
28.4,1.033333333,18.769, 5/06/1968
20.84,1.033333333,19.808, 6/06/1968
5.55,1.033333333,7.904, 7/06/1968
0,1.033333333,4.712, 8/06/1968
0,1.033333333,2.442, 9/06/1968
0,1.033333333,1.462,10/06/1968
0,1.033333333,1.038,11/06/1968
0,1.033333333,0.788,12/06/1968
0,1.033333333,0.615,13/06/1968
0,1.033333333,0.481,14/06/1968
1,1.033333333,0.423,15/06/1968
0.92,1.033333333,0.365,16/06/1968
3.36,1.033333333,0.365,17/06/1968
0,1.033333333,0.327,18/06/1968
0,1.033333333,0.269,19/06/1968
0,1.033333333,0.231,20/06/1968
3.58,1.033333333,0.192,21/06/1968
1.75,1.033333333,0.269,22/06/1968
4.88,1.033333333,0.327,23/06/1968
20.4,1.033333333,6.769,24/06/1968
8.52,1.033333333,5.731,25/06/1968
22.44,1.033333333,12.519,26/06/1968
6.11,1.033333333,10.769,27/06/1968
10.51,1.033333333,5.135,28/06/1968
16.65,1.033333333,12.558,29/06/1968
12.06,1.033333333,12.558,30/06/1968
1.81,1.096774194,7.25, 1/07/1968
0,1.096774194,3.25, 2/07/1968
5.74,1.096774194,2.308, 3/07/1968
0,1.096774194,1.923, 4/07/1968
0.59,1.096774194,1.404, 5/07/1968
2,1.096774194,1.077, 6/07/1968
1.52,1.096774194,0.981, 7/07/1968
1.22,1.096774194,0.865, 8/07/1968
6.36,1.096774194,0.942, 9/07/1968
0.4,1.096774194,1.327,10/07/1968
0,1.096774194,1.135,11/07/1968
13.17,1.096774194,4.385,12/07/1968
9.3,1.096774194,5.596,13/07/1968
1.14,1.096774194,2.962,14/07/1968
0.82,1.096774194,1.885,15/07/1968
0,1.096774194,1.173,16/07/1968
0,1.096774194,0.904,17/07/1968
3.15,1.096774194,0.827,18/07/1968
1.78,1.096774194,0.75,19/07/1968
3,1.096774194,0.865,20/07/1968
0.4,1.096774194,0.923,21/07/1968
15.77,1.096774194,4.942,22/07/1968
0,1.096774194,2.673,23/07/1968
0,1.096774194,1.462,24/07/1968
0,1.096774194,1.038,25/07/1968
0,1.096774194,0.769,26/07/1968
0.4,1.096774194,0.635,27/07/1968
0.78,1.096774194,0.519,28/07/1968
1.81,1.096774194,0.462,29/07/1968
0,1.096774194,0.385,30/07/1968
5.59,1.096774194,0.404,31/07/1968
10.36,1.419354839,1.231, 1/08/1968
5.91,1.419354839,1.788, 2/08/1968
0,1.419354839,1.327, 3/08/1968
6.99,1.419354839,2.596, 4/08/1968
5.29,1.419354839,1.923, 5/08/1968
0,1.419354839,1.077, 6/08/1968
1.13,1.419354839,0.769, 7/08/1968
4.2,1.419354839,0.769, 8/08/1968
11.83,1.419354839,1.923, 9/08/1968
13.65,1.419354839,6.538,10/08/1968
1.74,1.419354839,4.885,11/08/1968
0.82,1.419354839,2.25,12/08/1968
0,1.419354839,1.327,13/08/1968
0,1.419354839,0.923,14/08/1968
4.14,1.419354839,0.846,15/08/1968
0,1.419354839,0.712,16/08/1968
0,1.419354839,0.596,17/08/1968
0,1.419354839,0.481,18/08/1968
1.6,1.419354839,0.442,19/08/1968
0,1.419354839,0.404,20/08/1968
13.59,1.419354839,0.904,21/08/1968
16.2,1.419354839,4.038,22/08/1968
4.73,1.419354839,5.654,23/08/1968
1.41,1.419354839,2.5,24/08/1968
3.89,1.419354839,2.731,25/08/1968
5.47,1.419354839,3.096,26/08/1968
5.52,1.419354839,2.25,27/08/1968
9.91,1.419354839,4,28/08/1968
12.87,1.419354839,8.615,29/08/1968
2.52,1.419354839,6.019,30/08/1968
0,1.419354839,2.538,31/08/1968
0.15,2.3,1.558, 1/09/1968
5.17,2.3,1.231, 2/09/1968
0,2.3,0.942, 3/09/1968
0,2.3,0.712, 4/09/1968
0,2.3,0.558, 5/09/1968
0.15,2.3,0.462, 6/09/1968
0,2.3,0.404, 7/09/1968
4.48,2.3,0.462, 8/09/1968
4.48,2.3,0.692, 9/09/1968
0.33,2.3,0.538,10/09/1968
0,2.3,0.442,11/09/1968
0,2.3,0.346,12/09/1968
4.96,2.3,0.365,13/09/1968
0,2.3,0.327,14/09/1968
0,2.3,0.25,15/09/1968
0,2.3,0.192,16/09/1968
0,2.3,0.154,17/09/1968
0,2.3,0.154,18/09/1968
0,2.3,0.135,19/09/1968
3.41,2.3,0.135,20/09/1968
12.1,2.3,0.462,21/09/1968
0,2.3,0.769,22/09/1968
0,2.3,0.5,23/09/1968
4.56,2.3,0.365,24/09/1968
15.3,2.3,2.019,25/09/1968
4.37,2.3,2.115,26/09/1968
0.59,2.3,1.327,27/09/1968
0,2.3,0.904,28/09/1968
0,2.3,0.75,29/09/1968
11.9,2.3,1.558,30/09/1968
5.53,3.741935484,1.558, 1/10/1968
5.96,3.741935484,1.75, 2/10/1968
17.95,3.741935484,13.077, 3/10/1968
23.1,3.741935484,12.096, 4/10/1968
0,3.741935484,3.096, 5/10/1968
0,3.741935484,2.019, 6/10/1968
22.89,3.741935484,12.038, 7/10/1968
16.44,3.741935484,10.923, 8/10/1968
3.81,3.741935484,4.885, 9/10/1968
0.6,3.741935484,2.538,10/10/1968
0.38,3.741935484,1.558,11/10/1968
2.58,3.741935484,1.077,12/10/1968
2.92,3.741935484,0.942,13/10/1968
4.34,3.741935484,0.904,14/10/1968
0.4,3.741935484,0.75,15/10/1968
0,3.741935484,0.577,16/10/1968
0,3.741935484,0.442,17/10/1968
1.13,3.741935484,0.327,18/10/1968
2.03,3.741935484,0.327,19/10/1968
0,3.741935484,0.288,20/10/1968
0.19,3.741935484,0.212,21/10/1968
1.59,3.741935484,0.173,22/10/1968
3.36,3.741935484,0.173,23/10/1968
0,3.741935484,0.173,24/10/1968
20.22,3.741935484,0.75,25/10/1968
11.24,3.741935484,1.231,26/10/1968
4.29,3.741935484,1.5,27/10/1968
2.45,3.741935484,0.981,28/10/1968
2.55,3.741935484,0.577,29/10/1968
0,3.741935484,0.442,30/10/1968
0,3.741935484,0.288,31/10/1968
5.95,4.733333333,0.212, 1/11/1968
7.93,4.733333333,0.269, 2/11/1968
0,4.733333333,0.423, 3/11/1968
0,4.733333333,0.231, 4/11/1968
0,4.733333333,0.154, 5/11/1968
6.7,4.733333333,0.115, 6/11/1968
2.53,4.733333333,0.135, 7/11/1968
0,4.733333333,0.096, 8/11/1968
0,4.733333333,0.077, 9/11/1968
0,4.733333333,0.058,10/11/1968
8.52,4.733333333,0.058,11/11/1968
17.45,4.733333333,0.654,12/11/1968
8.58,4.733333333,2.019,13/11/1968
17.74,4.733333333,6.731,14/11/1968
4.98,4.733333333,4.654,15/11/1968
2.15,4.733333333,1.654,16/11/1968
1.77,4.733333333,0.981,17/11/1968
0.41,4.733333333,0.654,18/11/1968
6.96,4.733333333,0.558,19/11/1968
0,4.733333333,0.481,20/11/1968
2.59,4.733333333,0.327,21/11/1968
0.19,4.733333333,0.231,22/11/1968
23.42,4.733333333,2.673,23/11/1968
6.04,4.733333333,3.192,24/11/1968
12.22,4.733333333,5.038,25/11/1968
7.74,4.733333333,5.308,26/11/1968
0,4.733333333,2.25,27/11/1968
1.22,4.733333333,1.038,28/11/1968
0.19,4.733333333,0.635,29/11/1968
0.55,4.733333333,0.423,30/11/1968
0,4.580645161,0.308, 1/12/1968
0,4.580645161,0.231, 2/12/1968
0.41,4.580645161,0.173, 3/12/1968
0,4.580645161,0.135, 4/12/1968
0,4.580645161,0.115, 5/12/1968
0,4.580645161,0.096, 6/12/1968
0,4.580645161,0.077, 7/12/1968
0,4.580645161,0.077, 8/12/1968
0,4.580645161,0.058, 9/12/1968
0,4.580645161,0.038,10/12/1968
0,4.580645161,0.038,11/12/1968
0,4.580645161,0.038,12/12/1968
0,4.580645161,0.038,13/12/1968
0,4.580645161,0.038,14/12/1968
0.94,4.580645161,0.038,15/12/1968
10.51,4.580645161,0.058,16/12/1968
6.2,4.580645161,0.115,17/12/1968
0,4.580645161,0.077,18/12/1968
0,4.580645161,0.038,19/12/1968
0.51,4.580645161,0.038,20/12/1968
0,4.580645161,0.038,21/12/1968
0,4.580645161,0.019,22/12/1968
0,4.580645161,0.019,23/12/1968
20.13,4.580645161,0.038,24/12/1968
0.19,4.580645161,0.038,25/12/1968
8.13,4.580645161,0.058,26/12/1968
6.39,4.580645161,0.058,27/12/1968
0,4.580645161,0.077,28/12/1968
0,4.580645161,0.058,29/12/1968
0,4.580645161,0.038,30/12/1968
2.57,4.580645161,0.038,31/12/1968
0,5,0.038, 1/01/1969
0,5,0.038, 2/01/1969
1,5,0.038, 3/01/1969
0.41,5,0.038, 4/01/1969
2.74,5,0.019, 5/01/1969
0,5,0.019, 6/01/1969
0,5,0.019, 7/01/1969
0,5,0.019, 8/01/1969
0,5,0.019, 9/01/1969
0,5,0,10/01/1969
0,5,0,11/01/1969
1,5,0,12/01/1969
0,5,0,13/01/1969
0.81,5,0,14/01/1969
9.77,5,0,15/01/1969
0,5,0,16/01/1969
0,5,0,17/01/1969
3,5,0,18/01/1969
0,5,0,19/01/1969
0,5,0,20/01/1969
0,5,0,21/01/1969
0,5,0,22/01/1969
0,5,0,23/01/1969
0,5,0,24/01/1969
0.4,5,0,25/01/1969
14,5,0,26/01/1969
0,5,0,27/01/1969
10.91,5,0,28/01/1969
0,5,0,29/01/1969
0,5,0,30/01/1969
0,5,0,31/01/1969
0,4.392857143,0, 1/02/1969
0,4.392857143,0, 2/02/1969
0,4.392857143,0, 3/02/1969
14.17,4.392857143,0.019, 4/02/1969
0,4.392857143,0.038, 5/02/1969
0,4.392857143,0.019, 6/02/1969
0,4.392857143,0, 7/02/1969
0,4.392857143,0, 8/02/1969
0,4.392857143,0, 9/02/1969
0,4.392857143,0,10/02/1969
7.77,4.392857143,0,11/02/1969
0,4.392857143,0,12/02/1969
2.22,4.392857143,0,13/02/1969
2.97,4.392857143,0,14/02/1969
0.19,4.392857143,0,15/02/1969
0.19,4.392857143,0,16/02/1969
0.41,4.392857143,0,17/02/1969
0,4.392857143,0,18/02/1969
0,4.392857143,0,19/02/1969
0,4.392857143,0,20/02/1969
0,4.392857143,0,21/02/1969
14.14,4.392857143,0,22/02/1969
12.6,4.392857143,0.019,23/02/1969
27.85,4.392857143,0.038,24/02/1969
0,4.392857143,0.038,25/02/1969
0,4.392857143,0.038,26/02/1969
1,4.392857143,0.038,27/02/1969
0.19,4.392857143,0.019,28/02/1969
0,3.290322581,0.019, 1/03/1969
0,3.290322581,0.019, 2/03/1969
0,3.290322581,0, 3/03/1969
0,3.290322581,0, 4/03/1969
2.19,3.290322581,0, 5/03/1969
0,3.290322581,0, 6/03/1969
0,3.290322581,0, 7/03/1969
0,3.290322581,0, 8/03/1969
0,3.290322581,0, 9/03/1969
0,3.290322581,0,10/03/1969
0.81,3.290322581,0,11/03/1969
15.02,3.290322581,0,12/03/1969
12.66,3.290322581,0,13/03/1969
0,3.290322581,0,14/03/1969
12.91,3.290322581,0,15/03/1969
0,3.290322581,0,16/03/1969
0,3.290322581,0,17/03/1969
1.74,3.290322581,0,18/03/1969
16.05,3.290322581,0.019,19/03/1969
5.02,3.290322581,0.019,20/03/1969
0,3.290322581,0.019,21/03/1969
0,3.290322581,0.038,22/03/1969
0,3.290322581,0.038,23/03/1969
0,3.290322581,0.038,24/03/1969
6.89,3.290322581,0.019,25/03/1969
0,3.290322581,0.019,26/03/1969
0.19,3.290322581,0.019,27/03/1969
0,3.290322581,0.019,28/03/1969
0.4,3.290322581,0.019,29/03/1969
0,3.290322581,0.019,30/03/1969
12.85,3.290322581,0.019,31/03/1969
0.15,2.2,0.019, 1/04/1969
0,2.2,0.019, 2/04/1969
1.59,2.2,0.019, 3/04/1969
0,2.2,0.019, 4/04/1969
0.41,2.2,0.019, 5/04/1969
0,2.2,0.019, 6/04/1969
0,2.2,0.019, 7/04/1969
0,2.2,0, 8/04/1969
0,2.2,0, 9/04/1969
0,2.2,0,10/04/1969
0.19,2.2,0,11/04/1969
8.72,2.2,0,12/04/1969
2.27,2.2,0,13/04/1969
2.99,2.2,0,14/04/1969
0.57,2.2,0,15/04/1969
4.09,2.2,0,16/04/1969
9.62,2.2,0.019,17/04/1969
0,2.2,0.019,18/04/1969
4.18,2.2,0.019,19/04/1969
1.18,2.2,0.038,20/04/1969
16.48,2.2,0.077,21/04/1969
0.4,2.2,0.058,22/04/1969
5.73,2.2,0.096,23/04/1969
0,2.2,0.096,24/04/1969
0,2.2,0.077,25/04/1969
0,2.2,0.058,26/04/1969
0,2.2,0.038,27/04/1969
0,2.2,0.038,28/04/1969
0.38,2.2,0.038,29/04/1969
1.77,2.2,0.019,30/04/1969
13.74,1.258064516,0.058, 1/05/1969
1.56,1.258064516,0.038, 2/05/1969
0.56,1.258064516,0.058, 3/05/1969
0,1.258064516,0.096, 4/05/1969
0,1.258064516,0.077, 5/05/1969
2.75,1.258064516,0.058, 6/05/1969
0,1.258064516,0.038, 7/05/1969
0,1.258064516,0.038, 8/05/1969
0,1.258064516,0.038, 9/05/1969
0,1.258064516,0.038,10/05/1969
0,1.258064516,0.019,11/05/1969
4.39,1.258064516,0.019,12/05/1969
1.35,1.258064516,0.019,13/05/1969
2.58,1.258064516,0.019,14/05/1969
0.59,1.258064516,0.019,15/05/1969
6.96,1.258064516,0.038,16/05/1969
27.37,1.258064516,0.25,17/05/1969
1,1.258064516,0.654,18/05/1969
2.44,1.258064516,0.346,19/05/1969
3.1,1.258064516,0.231,20/05/1969
15.7,1.258064516,0.25,21/05/1969
2.18,1.258064516,0.731,22/05/1969
0,1.258064516,0.442,23/05/1969
16.68,1.258064516,0.385,24/05/1969
0,1.258064516,1.038,25/05/1969
0.82,1.258064516,0.519,26/05/1969
1.88,1.258064516,0.327,27/05/1969
0,1.258064516,0.231,28/05/1969
